"diameter","rpm","power_b"
120,200,0.82
120,400,1.43
120,600,1.95
120,725,2.25
120,800,2.42
120,870,2.57
120,950,2.74
120,1000,2.84
120,1160,3.14
120,1200,3.21
120,1400,3.55
120,1425,3.59
120,1600,3.84
120,1750,4.04
120,1800,4.1
120,2000,4.32
120,2200,4.5
120,2400,4.64
120,2600,4.74
120,2800,4.79
120,2850,4.79
120,3000,4.8
120,3200,4.76
120,3400,4.67
120,3450,4.64
120,3600,4.53
120,3800,4.34
120,4000,4.09
120,4200,3.79
120,4400,3.43
120,4600,3.01
120,4800,2.52
125,200,0.89
125,400,1.56
125,600,2.15
125,725,2.48
125,800,2.67
125,870,2.84
125,950,3.03
125,1000,3.14
125,1160,3.49
125,1200,3.57
125,1400,3.95
125,1425,4
125,1600,4.9
125,1750,4.52
125,1800,4.59
125,2000,4.85
125,2200,5.06
125,2400,5.23
125,2600,5.35
125,2800,5.43
125,2850,5.44
125,3000,5.45
125,3200,5.42
125,3400,5.34
125,3450,5.31
125,3600,5.2
125,3800,5
125,4000,4.74
125,4200,4.42
125,4400,4.03
125,4600,3.57
130,200,0.96
130,400,1.7
130,600,2.34
130,725,2.71
130,800,2.92
130,870,3.11
130,950,3.32
130,1000,3.45
130,1160,3.83
130,1200,3.92
130,1400,4.35
130,1425,4.4
130,1600,4.74
130,1750,5
130,1800,5.08
130,2000,5.37
130,2200,5.61
130,2400,5.81
130,2600,5.95
130,2800,6.05
130,2850,6.06
130,3000,6.08
130,3200,6.06
130,3400,5.98
130,3450,5.95
130,3600,5.83
130,3800,5.63
130,4000,5.35
130,4200,5
130,4400,4.58
135,200,1.04
135,400,1.83
135,600,2.54
135,725,2.94
135,800,3.17
135,870,3.38
135,950,3.61
135,1000,3.75
135,1160,4.17
135,1200,4.27
135,1400,4.75
135,1425,4.81
135,1600,5.18
135,1750,5.46
135,1800,5.55
135,2000,5.88
135,2200,6.16
135,2400,6.38
135,2600,6.54
135,2800,6.65
135,2850,6.67
135,3000,6.7
135,3200,6.68
135,3400,6.59
135,3450,6.56
135,3600,6.44
135,3800,6.21
135,4000,5.91
135,4200,5.53
140,200,1.11
140,400,1.97
140,600,2.73
140,725,3.17
140,800,3.42
140,870,3.65
140,950,3.9
140,1000,4.05
140,1160,4.51
140,1200,4.62
140,1400,5.14
140,1425,5.21
140,1600,5.61
140,1750,5.93
140,1800,6.03
140,2000,6.39
140,2200,6.69
140,2400,6.94
140,2600,7.12
140,2800,7.24
140,2850,7.26
140,3000,7.29
140,3200,7.27
140,3400,7.18
140,3450,7.15
140,3600,7.01
140,3800,6.77
140,4000,6.43
140,4200,6.02
145,200,1.18
145,400,2.1
145,600,2.92
145,725,3.39
145,800,3.67
145,870,3.91
145,950,4.18
145,1000,4.35
145,1160,4.85
145,1200,4.97
